file_name,predicted_label,raw_label,confidence
SE_Stark_St8.jpg,pole,pole,0.9993
SE_Stark_St80.jpg,no_pole,no_pole,0.9357
SE_Stark_St81.jpg,no_pole,no_pole,0.97
SE_Stark_St82.jpg,uncertain,no_pole,0.5235
SE_Stark_St83.jpg,no_pole,no_pole,0.8715
SE_Stark_St84.jpg,uncertain,pole,0.6529
SE_Stark_St85.jpg,no_pole,no_pole,0.8305
SE_Stark_St86.jpg,no_pole,no_pole,0.7576
SE_Stark_St87.jpg,no_pole,no_pole,0.8607
SE_Stark_St88.jpg,no_pole,no_pole,0.9564
SE_Stark_St89.jpg,pole,pole,0.9685
SE_Stark_St9.jpg,pole,pole,0.9976
SE_Stark_St90.jpg,uncertain,no_pole,0.517
SE_Stark_St91.jpg,uncertain,pole,0.6792
SE_Stark_St92.jpg,no_pole,no_pole,0.861
SE_Stark_St93.jpg,no_pole,no_pole,0.8832
SE_Stark_St94.jpg,pole,pole,0.987
SE_Stark_St95.jpg,pole,pole,0.8127
SE_Stark_St96.jpg,uncertain,pole,0.5182
SE_Stark_St97.jpg,pole,pole,0.8228
SE_Stark_St98.jpg,pole,pole,0.9
SE_Stark_St99.jpg,uncertain,pole,0.5731
